"","Row.Names","NMDS1","NMDS2","Species","Pollinator","Pair","species2","Salvia"
"SalCoc_1","SalCoc_1",0.0284164358208808,-0.110050648291195,"SalCoc_9","BIRD",1,"Salvia coccinea","Salvia"
"SalCoc_10","SalCoc_10",0.0266350665390636,-0.0591547337363707,"SalCoc_9","BIRD",1,"Salvia coccinea","Salvia"
"SalCoc_11","SalCoc_11",0.0152501225658803,-0.0692698735235467,"SalCoc_9","BIRD",1,"Salvia coccinea","Salvia"
"SalCoc_2","SalCoc_2",0.0178185781069811,-0.0442699864995769,"SalCoc_9","BIRD",1,"Salvia coccinea","Salvia"
"SalCoc_3","SalCoc_3",0.0360221472441339,-0.0586528199759447,"SalCoc_9","BIRD",1,"Salvia coccinea","Salvia"
"SalCoc_4","SalCoc_4",0.0300833098952023,-0.0604803313269973,"SalCoc_9","BIRD",1,"Salvia coccinea","Salvia"
"SalCoc_5","SalCoc_5",0.013923670600447,-0.0631584789879516,"SalCoc_9","BIRD",1,"Salvia coccinea","Salvia"
"SalCoc_6","SalCoc_6",-0.0278394836632158,-0.0173953463399272,"SalCoc_9","BIRD",1,"Salvia coccinea","Salvia"
"SalDar_1","SalDar_1",0.0955120231786809,-0.155328672453276,"SalDar_10","BIRD",NA,"Salvia darcyi","Salvia"
"SalDar_11","SalDar_11",0.115452408314444,-0.118892809327499,"SalDar_10","BIRD",NA,"Salvia darcyi","Salvia"
"SalDar_12","SalDar_12",0.119175736548446,-0.189293798805789,"SalDar_10","BIRD",NA,"Salvia darcyi","Salvia"
"SalDar_13","SalDar_13",0.118479567970556,-0.0677966319493655,"SalDar_10","BIRD",NA,"Salvia darcyi","Salvia"
"SalDar_14","SalDar_14",0.0268882982493439,-0.000878033098028397,"SalDar_10","BIRD",NA,"Salvia darcyi","Salvia"
"SalDar_15","SalDar_15",0.0771134094153769,-0.0482411316778657,"SalDar_10","BIRD",NA,"Salvia darcyi","Salvia"
"SalDar_2","SalDar_2",0.150541862077134,-0.069610867886124,"SalDar_10","BIRD",NA,"Salvia darcyi","Salvia"
"SalDar_20","SalDar_20",-0.0106923888405771,-0.0481176099946029,"SalDar_10","BIRD",NA,"Salvia darcyi","Salvia"
"SalDar_3","SalDar_3",0.114336951967158,-0.0407100969468078,"SalDar_10","BIRD",NA,"Salvia darcyi","Salvia"
"SalDar_4","SalDar_4",0.0257204455413264,-0.0222376335519586,"SalDar_10","BIRD",NA,"Salvia darcyi","Salvia"
"SalDar_6","SalDar_6",0.118711483288821,-0.0540706014421586,"SalDar_10","BIRD",NA,"Salvia darcyi","Salvia"
"SalFar_1","SalFar_1",0.0640361584829008,-0.0462092208548598,"SalFar_11","BEE",NA,"Salvia farinacea","Salvia"
