"","Row.Names","NMDS1","NMDS2","Species","Pollinator","Pair","species2","Salvia"
"SalMic_8","SalMic_8",-0.0436956581629002,-0.0205136398105576,"SalMic_14","BIRD",NA,"Salvia microphylla","SALVIA"
"SalReg_B1","SalReg_B1",-0.164243800332336,-0.0733477928077213,"SalReg_15","BIRD",3,"Salvia regla","SALVIA"
"SalReg_FM15","SalReg_FM15",-0.0318688154133444,-0.0220397890564958,"SalReg_15","BIRD",3,"Salvia regla","SALVIA"
"SalReg_W2","SalReg_W2",-0.0515850739304851,-0.045290316354245,"SalReg_15","BIRD",3,"Salvia regla","SALVIA"
"SalReg_W4","SalReg_W4",-0.0496742956084342,-0.0253957334174419,"SalReg_15","BIRD",3,"Salvia regla","SALVIA"
"SalRoe_1","SalRoe_1",0.161069232404327,-0.413071765918565,"SalRoe_16","BIRD",NA,"Salvia roemeriana","SALVIA"
"SalRoe_3","SalRoe_3",0.195344913289699,0.291928008443564,"SalRoe_16","BIRD",NA,"Salvia roemeriana","SALVIA"
"SalRoe_4","SalRoe_4",0.455189026529266,0.118892417395652,"SalRoe_16","BIRD",NA,"Salvia roemeriana","SALVIA"
"SalRoe_5","SalRoe_5",0.304887504304951,0.115880794097278,"SalRoe_16","BIRD",NA,"Salvia roemeriana","SALVIA"
"SalRoe_6","SalRoe_6",0.28995883230307,0.0584767785726155,"SalRoe_16","BIRD",NA,"Salvia roemeriana","SALVIA"
"SalRoe_7","SalRoe_7",0.00244412931035414,0.0138646393015471,"SalRoe_16","BIRD",NA,"Salvia roemeriana","SALVIA"
"SalSin_4","SalSin_4",-0.126261392581436,0.254292905521185,"SalSin_20","BEE",NA,"Salvia sinaloensis","SALVIA"
"SalSin_B2","SalSin_B2",0.290670594380745,0.139841895375934,"SalSin_21","BEE",NA,"Salvia sinaloensis","SALVIA"
"SalSin_B6","SalSin_B6",-0.100533229146171,0.0710189598358098,"SalSin_20","BEE",NA,"Salvia sinaloensis","SALVIA"
"ScutSuf_2","ScutSuf_2",0.308477005167743,0.064135547022002,"ScutSuff_18","BIRD",5,"Scutellaria suffrutescens","NO"
"ScutSuf_20","ScutSuf_20",-0.0599241946348473,-0.0240527957630315,"ScutSuff_18","BIRD",5,"Scutellaria suffrutescens","NO"
"ScutSuf_5","ScutSuf_5",0.132798333626208,0.0262226667213791,"ScutSuff_18","BIRD",5,"Scutellaria suffrutescens","NO"
"ScutSuf_8","ScutSuf_8",-0.097558317720735,0.000377377344587867,"ScutSuff_18","BIRD",5,"Scutellaria suffrutescens","NO"
"ScutSuf_B1","ScutSuf_B1",-0.0343200416786916,-0.116820534150797,"ScutSuff_18","BIRD",5,"Scutellaria suffrutescens","NO"
"ScutSuf_B2","ScutSuf_B2",0.0862822017983959,-0.171835921222672,"ScutSuff_18","BIRD",5,"Scutellaria suffrutescens","NO"
"ScutSuf_B3","ScutSuf_B3",0.203465509852964,-0.209876487614254,"ScutSuff_18","BIRD",5,"Scutellaria suffrutescens","NO"
"ScutWri_4","ScutWri_4",-0.0276681400403911,-0.0482090976220003,"ScutWri_19","BEE",5,"Scutellaria wrightii","NO"
"ScutWri_5","ScutWri_5",-0.0402592516851366,-0.041974678180206,"ScutWri_19","BEE",5,"Scutellaria wrightii","NO"
"ScutWri_6","ScutWri_6",0.325760868903895,-0.0364079801136867,"ScutWri_19","BEE",5,"Scutellaria wrightii","NO"
"ScutWrit_1","ScutWrit_1",-0.200224566863187,-0.0869033922062908,"ScutWri_19","BEE",5,"Scutellaria wrightii","NO"
"ScutWrit_2","ScutWrit_2",0.206382565563277,0.0502216942266429,"ScutWri_19","BEE",5,"Scutellaria wrightii","NO"
"ScuWri_9","ScuWri_9",0.274893754330302,-0.256810564917069,"ScutWri_19","BEE",5,"Scutellaria wrightii","NO"
"StaCoc_2","StaCoc_2",-0.0436283046171672,-0.0164416567076767,"StaCoc_21","BIRD",NA,"Stachys coccinea","NO"
"StaCoc_3","StaCoc_3",-0.0272013400067751,-0.0156484559261575,"StaCoc_21","BIRD",NA,"Stachys coccinea","NO"
