SppID,Species,Pollinator,PairMatch,Species2,Salvia
SalGreg_7,SalGre_12,BIRD,NA,Salvia greggii,SALVIA
SalGreg_8,SalGre_12,BIRD,NA,Salvia greggii,SALVIA
SalLeu_20,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalLeu_21,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalLeu_22,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalLeu_23,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalLeu_25,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalLeu_26,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalLeu_5,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalMic_1,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalMic_2,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalMic_3,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalMic_4,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalMic_5,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalMic_7,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalMic_8,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalReg_B1,SalReg_15,BIRD,3,Salvia regla,SALVIA
SalReg_FM15,SalReg_15,BIRD,3,Salvia regla,SALVIA
SalReg_W2,SalReg_15,BIRD,3,Salvia regla,SALVIA
SalReg_W4,SalReg_15,BIRD,3,Salvia regla,SALVIA
SalRoe_1,SalRoe_16,BIRD,NA,Salvia roemeriana,SALVIA
SalRoe_3,SalRoe_16,BIRD,NA,Salvia roemeriana,SALVIA
SalRoe_4,SalRoe_16,BIRD,NA,Salvia roemeriana,SALVIA
SalRoe_5,SalRoe_16,BIRD,NA,Salvia roemeriana,SALVIA
SalRoe_6,SalRoe_16,BIRD,NA,Salvia roemeriana,SALVIA
SalRoe_7,SalRoe_16,BIRD,NA,Salvia roemeriana,SALVIA
SalSin_B6,SalSin_20,BEE,NA,Salvia sinaloensis,SALVIA
SalSin_B2,SalSin_21,BEE,NA,Salvia sinaloensis,SALVIA
