row.ID,Anisacanthus.quadrifidus,Physostegia.virginiana,Ruellia.brittoniana,Salvia.azurea,Salvia.ballotiflora,Salvia.blepharophylla,Salvia.chionophylla,Salvia.coccinea,Salvia.darcyi,Salvia.farinacea,Salvia.greggii,Salvia.leucantha,Salvia.microphylla,Salvia.regla,Salvia.roemeriana,Salvia.sinaloensis,Scutellaria.suffrutescens,Scutellaria.wrightii,Stachys.coccinea
4153,9831.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,2661.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4278,8550.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4330,0,0,0,0,0,0,0,0,0,152.2568,0,0,0,0,0,0,0,0,0
4401,0,0,0,0,0,0,0,0,0,0,0,0,236.7406,0,0,0,0,0,0
4485,2458.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4577,7074.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4583,3361.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4588,7435.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4767,2668.7838,258.0766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2446.7456
4788,617.4293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4791,0,0,1760.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4806,0,0,0,0,0,0,0,0,0,140.8592,0,0,0,0,0,0,0,0,0
4912,1485.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4913,270.0784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5115,3797.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5315,187.1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5604,396.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5736,0,0,0,3332.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6018,0,564.3427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6076,7194.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6145,1076.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6151,0,0,0,0,37202.799,2838.988,0,0,3512.191,0,0,17734.188,0,0,0,0,0,0,0
6215,0,1864.2119,0,0,0,296.5782,0,0,0,0,0,0,0,0,0,0,0,0,0
6231,6140.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6346,680.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6632,1452.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6773,0,23374.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6925,0,130.0251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7015,0,2085.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7023,0,0,0,0,0,0,0,0,0,0,708.8833,0,0,0,0,0,0,0,0
7259,9430.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7261,0,111.2822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7349,41378.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7497,0,0,0,0,0,0,0,0,0,0,183.2559,0,0,0,0,0,0,0,10993.1281
8063,0,0,0,0,0,0,0,0,0,0,115.3386,0,0,0,0,0,0,0,0
8191,1500.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8339,0,850.5276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8450,0,1709.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8528,653.7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8773,0,0,2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8792,477.5368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8944,2016.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8956,72654.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.6051,0
9161,817.5617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9171,0,0,1122.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9221,0,0,11471.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9269,200.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9295,315.7094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9387,0,244.2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9417,2203.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.3984,0,0
9490,1001.1521,0,0,0,0,0,0,0,0,139.3797,0,0,0,0,0,0,0,0,0
9541,445.1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9693,0,0,33246.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9710,0,0,3058.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9937,0,0,0,0,0,0,0,169.906,0,384.7539,0,0,0,0,0,0,0,0,0
9955,190.3649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10247,0,0,1143.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10321,0,0,849.2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10407,17036.4935,797.7519,1804.9171,1944.4956,0,0,7350.4967,3040.5633,195.0773,6796.0031,2016.7829,0,1056.3095,1556.5361,4707.7954,0,893.579,351.9277,0
10761,1363.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10769,1659.009,1322.9434,5549.3938,5162.8042,7444.547,7033.0788,2538.0656,4839.7224,642.4857,9709.5498,1524.0636,4813.4276,1159.204,2156.1804,1529.0114,0,1494.1822,269.5119,0
10812,589.9014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
