SppID,Species,Pollinator,Species2,Salvia
SalDar_11,SalDar_10,BIRD,Salvia darcyi,Salvia
SalDar_12,SalDar_10,BIRD,Salvia darcyi,Salvia
SalDar_13,SalDar_10,BIRD,Salvia darcyi,Salvia
SalDar_14,SalDar_10,BIRD,Salvia darcyi,Salvia
SalDar_15,SalDar_10,BIRD,Salvia darcyi,Salvia
SalDar_2,SalDar_10,BIRD,Salvia darcyi,Salvia
SalDar_20,SalDar_10,BIRD,Salvia darcyi,Salvia
SalDar_3,SalDar_10,BIRD,Salvia darcyi,Salvia
SalDar_4,SalDar_10,BIRD,Salvia darcyi,Salvia
SalDar_6,SalDar_10,BIRD,Salvia darcyi,Salvia
SalFar_1,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_10,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_12,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_13,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_2,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_20,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_3,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_4,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_5,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_6,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_7,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_8,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_X1,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_X2,SalFar_11,BEE,Salvia farinacea,Salvia
SalFar_X3,SalFar_11,BEE,Salvia farinacea,Salvia
SalGreg_1,SalGre_12,BIRD,Salvia greggii,Salvia
SalGreg_10,SalGre_12,BIRD,Salvia greggii,Salvia
SalGreg_2,SalGre_12,BIRD,Salvia greggii,Salvia
SalGreg_3,SalGre_12,BIRD,Salvia greggii,Salvia
SalGreg_4,SalGre_12,BIRD,Salvia greggii,Salvia
SalGreg_5,SalGre_12,BIRD,Salvia greggii,Salvia
SalGreg_6,SalGre_12,BIRD,Salvia greggii,Salvia
SalGreg_7,SalGre_12,BIRD,Salvia greggii,Salvia
SalGreg_8,SalGre_12,BIRD,Salvia greggii,Salvia
SalLeu_20,SalLeu_13,BEE,Salvia leucantha,Salvia
SalLeu_21,SalLeu_13,BEE,Salvia leucantha,Salvia
SalLeu_22,SalLeu_13,BEE,Salvia leucantha,Salvia
SalLeu_23,SalLeu_13,BEE,Salvia leucantha,Salvia
SalLeu_26,SalLeu_13,BEE,Salvia leucantha,Salvia
