"","Row.Names","NMDS1","NMDS2","Species","Pollinator","species2","Salvia"
"SalReg_W4","SalReg_W4",-0.0152068410454715,0.0569313149442277,"SalReg_15","BIRD","Salvia regla","SALVIA"
"SalRoe_1","SalRoe_1",-0.312663734228633,0.431345729482138,"SalRoe_16","BIRD","Salvia roemeriana","SALVIA"
"SalRoe_3","SalRoe_3",0.263854812233842,-0.297534400806503,"SalRoe_16","BIRD","Salvia roemeriana","SALVIA"
"SalRoe_4","SalRoe_4",0.522670306058134,0.0190571966151026,"SalRoe_16","BIRD","Salvia roemeriana","SALVIA"
"SalRoe_5","SalRoe_5",0.365323423521812,-0.0789903585172384,"SalRoe_16","BIRD","Salvia roemeriana","SALVIA"
"SalRoe_6","SalRoe_6",0.339155886661086,-0.0530199158794813,"SalRoe_16","BIRD","Salvia roemeriana","SALVIA"
"SalRoe_7","SalRoe_7",0.0351718677467653,-0.00309204546229324,"SalRoe_16","BIRD","Salvia roemeriana","SALVIA"
"SalSin_4","SalSin_4",-0.18278709082307,-0.242449776572702,"SalSin_20","BEE","Salvia sinaloensis","SALVIA"
"SalSin_B2","SalSin_B2",0.345138972640367,-0.0836720594969973,"SalSin_21","BEE","Salvia sinaloensis","SALVIA"
"SalSin_B6","SalSin_B6",-0.137959135127014,-0.060674634302357,"SalSin_20","BEE","Salvia sinaloensis","SALVIA"
