row.ID,Individual,LeafConc,NectarConc,ATTRIBUTE_species,Pollinator,NPC.pathway,NPC.superclass,NPC.class
27084,ScutWri_6,38590.27,324997.76,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Tetracyclic diterpenoids
27097,ScutWri_6,16320.748,91552.149,Scutellaria_wrightii,BEE,Terpenoids,Sesquiterpenoids,Tetracyclic diterpenoids
27338,SalLeu_21,8688.293,10021.642,Salvia_leucantha,BEE,Fatty acids,Fatty acyls,Hydrocarbons
27338,SalLeu_23,15215.439,14506.897,Salvia_leucantha,BEE,Fatty acids,Fatty acyls,Hydrocarbons
27344,ScutWri_6,8482.689,28674.29,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Pimarane and Isopimarane diterpenoids
27371,ScutWri_6,9093.465,33451.67,Scutellaria_wrightii,BEE,Terpenoids,Apocarotenoids,Miscellaneous apocarotenoids
27375,ScutWri_6,10436.53,43482.23,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Tetracyclic diterpenoids
27377,ScutWri_6,39429.63,166842.68,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Jatrophane diterpenoids
27386,ScutWri_5,68839.41,30556.77,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Jatrophane diterpenoids
27386,ScutWri_6,131197.7,852263.2,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Jatrophane diterpenoids
27415,SalLeu_23,70555.78,91618.81,Salvia_leucantha,BEE,Terpenoids,Sesquiterpenoids,Germacrane sesquiterpenoids
27454,ScutWri_6,6201.276,17259.41,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Tetracyclic diterpenoids
27470,ScutSuf_8,47867.12,7697.988,Scutellaria_suffrutescens,BIRD,Terpenoids,Diterpenoids,Pimarane and Isopimarane diterpenoids
27470,SalCoc_4,72701.24,2577.517,Salvia_coccinea,BIRD,Terpenoids,Diterpenoids,Pimarane and Isopimarane diterpenoids
27497,ScutWri_6,63050.348,100502.1,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Jatrophane diterpenoids
27737,ScutWri_6,43546.997,34333.833,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Tetracyclic diterpenoids
27846,SalRoe_5,103776.184,26994.59,Salvia_roemeriana,BIRD,Terpenoids,Diterpenoids,Labdane diterpenoids
28037,ScutSuf_B3,59924.008,4226.503,Scutellaria_suffrutescens,BIRD,Fatty acids,Octadecanoids,Other Octadecanoids
28037,ScutSuf_8,28113.867,7778.541,Scutellaria_suffrutescens,BIRD,Fatty acids,Octadecanoids,Other Octadecanoids
2808,AniQWr_7,7748.022,15301.416,Anisacanthus_quadrifidus,BIRD,Polyketides,Cyclic polyketides,Phthalide derivatives
2808,AniQWr_4,8510.412,1409.634,Anisacanthus_quadrifidus,BIRD,Polyketides,Cyclic polyketides,Phthalide derivatives
2808,AniQWr_3,1375.467,1805.922,Anisacanthus_quadrifidus,BIRD,Polyketides,Cyclic polyketides,Phthalide derivatives
28121,ScutSuf_8,27249.91,9968.19,Scutellaria_suffrutescens,BIRD,Terpenoids,Diterpenoids,Podocarpane diterpenoids
28121,ScutWri_6,16076.26,38591.566,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Podocarpane diterpenoids
28147,ScutWri_6,14078.943,15059.408,Scutellaria_wrightii,BEE,Terpenoids,Apocarotenoids,Apocarotenoids (β-)
28277,SalGreg_2,5037002.63,5716.983,Salvia_greggii,BIRD,Terpenoids,Diterpenoids,Kaurane and Phyllocladane diterpenoids
2834,AniQWr_2,74636.702,5579.41,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Shikimic acids and derivatives
2834,AniQWr_4,40651.845,6818.093,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Shikimic acids and derivatives
28462,ScutWri_6,4341.438,15072.491,Scutellaria_wrightii,BEE,Terpenoids,Diterpenoids,Tetracyclic diterpenoids
28608,SalGreg_5,1407526.8,2624.99,Salvia_greggii,BIRD,Terpenoids,Diterpenoids,Norlabdane diterpenoids
29351,AniQWr_2,45873.926,55731.2,Anisacanthus_quadrifidus,BIRD,Alkaloids,Ornithine alkaloids,Polyamines
29351,SalReg_W4,66735.856,107783.82,Salvia_regla,BIRD,Alkaloids,Ornithine alkaloids,Polyamines
29351,AniQWr_4,41862.955,160580.62,Anisacanthus_quadrifidus,BIRD,Alkaloids,Ornithine alkaloids,Polyamines
29351,SalReg_B1,162057.832,27468.1,Salvia_regla,BIRD,Alkaloids,Ornithine alkaloids,Polyamines
29353,SalReg_B1,139039.826,21084.22,Salvia_regla,BIRD,Fatty acids,Fatty amides,N-acyl ethanolamines (endocannabinoids)
