row.ID,AniQWr_1,AniQWr_2,AniQWr_3,AniQWr_4,AniQWr_7,AniQWr_8,PhysVir_10,PhysVir_11,PhysVir_12,PhysVir_13,PhysVir_14,PhysVir_20,PhysVir_3,RueBrit_10,RueBrit_19,RueBrit_20,RueBrit_21,RueBrit_22,SalAzu_10,SalAzu_11,SalAzu_12,SalBall_1,SalBall_2,SalBall_3,SalBall_4,SalBall_5,SalBle_2,SalBle_20,SalBle_22,SalBle_23,SalBle_5,SalBle_SB1,SalBle_SBW5,SalBle_SBW6,SalChio_1,SalChio_6,SalChio_8,SalCoc_1,SalCoc_10,SalCoc_11,SalCoc_2,SalCoc_3,SalCoc_4,SalCoc_5,SalCoc_6,SalDar_1,SalDar_10,SalDar_11,SalDar_12,SalDar_14,SalDar_15,SalDar_2,SalDar_20,SalDar_3,SalFar_10,SalFar_11,SalFar_12,SalFar_13,SalFar_14,SalFar_15,SalFar_18,SalFar_2,SalFar_20,SalFar_3,SalGreg_1,SalGreg_10,SalGreg_2,SalGreg_3,SalGreg_4,SalGreg_5,SalGreg_7,SalGreg_8,SalLeu_20,SalLeu_21,SalLeu_22,SalLeu_23,SalLeu_25,SalLeu_26,SalLeu_5,SalMic_1,SalMic_2,SalMic_3,SalMic_4,SalMic_5,SalMic_7,SalMic_8,SalReg_B1,SalReg_FM15,SalReg_W2,SalReg_W4,SalRoe_1,SalRoe_3,SalRoe_4,SalRoe_5,SalRoe_6,SalRoe_7,SalSin_4,SalSin_B2,SalSin_B6,ScutSuf_2,ScutSuf_20,ScutSuf_5,ScutSuf_8,ScutSuf_B1,ScutSuf_B2,ScutSuf_B3,ScutWri_4,ScutWri_5,ScutWri_6,ScutWrit_1,ScutWrit_2,ScuWri_9,StaCoc_2,StaCoc_3
478,377568.9,332831.2,271054.8,339371.8,0,853090.4,783734.8,164673.3,0,395642.2,154932,408040.7,529500,348736.6,332967.6,260832.7,0,325283.6,389054.8,333575,283340.2,1265184.6,794035.6,914525.2,979183.4,0,0,302667.6,620095.5,514503.1,730806.6,0,849130.3,553233.8,544419.4,0,0,329486.2,477880,326401.5,614031.8,373485.9,583808.3,956804.1,716789,290883.4,1203007.4,869039,690428.6,785241.6,1819252.1,295153.4,225018,284576.5,550476.1,844795.9,1562629.9,674224.9,1874336.5,1210842.2,1258704.6,1119970.4,496446.3,1934605.1,270809.9,404837.3,267955.7,317523.8,629543.1,266203.6,584701.5,294531,821508.5,535508.6,1487911.3,732147.9,954094.6,595385.4,284457.9,249938.1,379642,312149.6,270057.4,242010.5,311195.2,341152,253184.5,604757.7,723239.8,601356.7,0,0,0,0,0,324169.3,0,0,553879.9,0,410178.6,831506.4,517750.3,495297.6,0,0,1172936.8,426343.9,0,445830.5,444447.5,0,393645.3,627891.5
481,232340.9,182452.3,173289.1,186891.6,0,522623.8,491343.3,0,0,310746.2,0,0,402763.2,198566.5,173399.4,137113.4,0,0,196610.4,183591.6,146824.6,0,0,500716.5,691129.1,0,0,152790.6,353306.7,299762.7,412756.7,0,0,224798.5,277552.6,0,0,174894.4,273911.3,178073,340750.2,197190.6,345635,564199.3,382536.2,149518.3,730483.4,0,387055.8,465480.8,1069794,155108.9,117317.6,146418.8,0,499673.4,0,350500.4,1190755.9,0,728978.3,671258.9,300598.4,1300320.8,142664.2,0,140209.7,170040.2,0,141738.5,0,153330.9,442108.2,309589.7,895436.7,393738.7,557054.4,349423.4,161646.3,129559.4,198017.1,0,0,0,0,172682.3,0,377216.1,448791.7,368316.8,0,0,0,0,0,0,0,0,345769.2,0,230365,445374.5,287460.2,282777.3,0,0,644299.4,248654.8,0,238404,241148.5,0,217723.9,380298.2
494,0,0,0,0,0,114941.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40079.49,0,0,0,114746.18,0,32673.43,0,0,75037.46,0,0,0,0,35288.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30780.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42077.8,19297.19,0,0,78504.97,0,0,0,0,0,0,0,0,0,0,0,0,0,67953.38,0,0,0,0,0,0,0,0,0,0
500,0,0,0,838648.7,0,0,0,0,901121.6,0,1091288.1,0,0,0,0,911278.9,1417966.5,0,0,0,0,0,0,0,0,1441687.8,0,704414.3,0,0,0,0,0,574168.7,0,0,0,0,0,0,0,0,0,0,0,917860.2,1484793.9,0,0,891804.9,0,865824,0,852279.8,0,0,0,0,0,0,0,1266115.9,0,0,0,0,815822.7,605350.4,0,0,1169503,0,0,0,1880995,766209.3,0,0,471839.2,0,0,1013225,1063914.9,0,0,0,0,0,0,0,0,0,844720.1,1041671.5,1081080.4,0,0,2475154,0,2843668.4,0,1475374.5,0,0,0,0,0,0,1222682,0,1235764,0,0,0
524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154261.97,332733.01,142821.22,0,0,52474.81,0,0,81343.66,58107.28,0,0,0,27670.38,60413.04,0,47395.77,0,54401.76,115674.47,0,0,0,79581.79,0,69072.27,0,0,0,0,0,83159.42,0,0,0,104819.27,0,0,0,0,22080.08,34407.26,24959.89,0,0,0,0,35172.2,77442.48,0,0,65024.96,0,0,0,0,0,0,19409.65,0,0,43731.32,21879.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51255.96,0,0,0,0,0,134811.63,0,0,0,0,0
528,292074.2,263043.7,252742.3,285013.1,0,803785.8,817377,235516.4,238728.4,607107.6,208591.9,801252.5,990757.1,0,0,212677.9,420665.3,0,0,0,0,1636698.5,739416.5,940203.9,1342559.5,1709028.4,0,0,0,617882.5,840308.3,630260.8,845648.7,420209.4,0,0,0,0,0,0,428670,0,381212.8,810586.8,729446.8,252786.7,1394552.6,917547.1,804729.3,812801.6,1830529.3,0,188556.5,215185.3,0,0,2025666.2,725233.1,3135379,1061960.7,1369868.9,0,0,0,0,0,0,224690.2,495621.3,220797.7,529917.3,0,1057895.1,524075.1,1567953,634142.4,1249700.9,750422,707080.5,0,0,0,0,0,0,242321.4,0,549039.4,516678.8,481104.5,0,651098.4,0,821683.3,732605.1,341135.5,1062997.5,1161060.3,1007679.1,1694653.1,309889.6,627091.8,371177.6,328960,569229.6,498000.2,1337879.8,446629.8,671399.9,0,0,958064.5,328096.7,759949.9
615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25798.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21143.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187482.93,0,66827.68,333872.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842,41421.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17931.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8571.139,8934.854,0,133593.115,65495.941,44453.002,232234.811,51586.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23973.333,0,0,0
922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33790.82,43055.73,27030.35,52846.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11190.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10509.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,0,0,0,0,0,0,21223.56,0,5714.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5519.953,0,0,0,21106.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,0,0,11467.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,0,0,0,0,0,0,0,0,0,0,12913.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
