CLUSTERID1,CLUSTERID2,DeltaMZ,MEH,Cosine,OtherScore,ComponentIndex,EdgeAnnotation
5448,5503,0.001,5448,0.8526,5448,17,NA
5225,7086,0,5225,0.9231,5225,17,NA
5225,5867,0,5225,0.943,5225,17,NA
5711,5894,0,5711,0.9038,5711,17,NA
5196,5482,0.001,5196,0.9409,5196,17,NA
4070,5196,18.01,4070,0.8172,4070,17,H2O
5898,7086,0.002,5898,0.9465,5898,17,NA
6728,11085,0.001,6728,0.8521,6728,17,NA
5044,7170,-0.002,5044,0.8905,5044,17,NA
4060,5196,-12.001,4060,0.784,4060,17,C
10452,12250,-0.001,10452,0.9244,10452,17,NA
5898,11085,0.001,5898,0.8327,5898,17,NA
6728,13150,0,6728,0.805,6728,17,NA
7086,7609,-0.002,7086,0.875,7086,17,NA
4059,7086,18.011,4059,0.8076,4059,17,H2O
24458,24494,0.002,24458,0.9295,24458,17,NA
22763,26680,-27.994,22763,0.8073,22763,17,CO
12289,20932,2.014,12289,0.7817,12289,17,H2
21443,23197,15.995,21443,0.8255,21443,17,O
6728,14065,0.002,6728,0.8006,6728,17,NA
5225,13150,-0.002,5225,0.8126,5225,17,NA
12257,12289,1.003,12257,0.8,12257,17,isotope_13C
23305,23333,0.001,23305,0.9207,23305,17,NA
20756,23197,0,20756,0.9159,20756,17,NA
23197,23305,-0.002,23197,0.9114,23197,17,NA
18854,23197,2.017,18854,0.7905,18854,17,H2
4059,4070,-0.001,4059,0.8938,4059,17,NA
4059,5196,18.009,4059,0.7816,4059,17,H2O
4059,5482,18.01,4059,0.8079,4059,17,H2O
12166,20988,2.015,12166,0.7855,12166,17,H2
20976,21685,-15.995,20976,0.79,20976,17,O
7460,7609,-0.002,7460,0.8601,7460,17,NA
4070,7086,18.012,4070,0.8696,4070,17,H2O
21642,24494,-14.014,21642,0.7818,21642,17,methanol (-H2O):CH2
26646,26680,0.002,26646,0.9175,26646,17,NA
21642,23305,15.995,21642,0.7938,21642,17,O
5225,5898,-0.001,5225,0.9404,5225,17,NA
4060,5225,-12,4060,0.783,4060,17,C
5898,14065,0.002,5898,0.8301,5898,17,NA
23333,24458,-30.012,23333,0.7971,23333,17,CH2O
20756,20923,-0.002,20756,0.848,20756,17,NA
4059,5044,18.011,4059,0.7811,4059,17,H2O
20923,23333,0.001,20923,0.8169,20923,17,NA
18605,20915,15.994,18605,0.8536,18605,17,O
5482,7609,-0.001,5482,0.873,5482,17,NA
5894,12166,0,5894,0.8086,5894,17,NA
10560,20915,2.017,10560,0.7829,10560,17,H2
5044,5867,-0.001,5044,0.9444,5044,17,NA
